Code,Year,life_expectancy,gdp_per_capita,health_spending_pct_gdp,DTP3,MCV1,gini,share_below_6_85,neonatal,tuberculosis,hiv_aids,neoplasms,cardiovascular,gdp_log,neonatal_log,tuberculosis_log,hiv_aids_log
ARM,2012,73.454,11476.973,1.5781703,95.0,97.0,0.29602262,55.248005,8.83,4.0,0.68,194.08,453.99,4.059827359948485,2.285438934159075,1.6094379124341003,0.5187937934151676
ARM,2013,73.6759,11309.393,1.3756574,95.0,97.0,0.30579662,53.08642,8.14,3.49,0.55,190.62,442.32,4.053439296010793,2.2126603854660587,1.501852701754163,0.4382549309311553
ARM,2014,74.0577,10791.942,1.5054787,93.0,97.0,0.3148329,51.051277,7.66,3.11,0.96,192.03,441.79,4.033099602606431,2.1587147225743437,1.4134230285081433,0.6729444732424258
ARM,2015,74.4361,11156.541,1.6102092,94.0,97.0,0.32356772,46.677456,7.19,2.88,1.06,197.45,451.8,4.047529565796412,2.102913897864978,1.355835153635182,0.7227059828014898
ARM,2016,74.6639,11325.965,1.6373446,94.0,97.0,0.32547948,42.42208,7.09,2.67,0.93,195.77,452.04,4.05407521521649,2.0906287310704004,1.3001916620664788,0.6575200029167942
ARM,2017,74.9059,12979.432,1.372506,94.0,96.0,0.3362184,48.653297,6.38,2.61,0.75,197.46,459.39,4.113255687482596,1.998773638612381,1.2837077723447896,0.5596157879354227
ARM,2018,75.0645,13588.856,1.2346811,92.0,95.0,0.344335,48.859188,5.84,2.54,0.69,198.94,463.54,4.133182896482307,1.922787731634459,1.264126727145683,0.5247285289349821
ARM,2019,75.4386,14735.138,1.4061488,92.0,95.0,0.30031213,52.102097,5.37,2.51,0.65,200.9,465.12,4.168354207532931,1.851599469584072,1.2556160374777743,0.5007752879124893
AUS,2001,80.0165,40172.168,5.4726715,92.0,92.0,0.33464798,1.4768275,3.3,0.43,0.75,193.57,249.91,4.603925270243736,1.4586150226995167,0.3576744442718159,0.5596157879354227
AUS,2003,80.4549,41971.69,5.639166,93.0,94.0,0.33500516,1.7475827,3.13,0.39,0.68,191.27,241.93,4.622956456533332,1.4182774069729414,0.3293037471426004,0.5187937934151676
AUS,2004,80.7512,42933.586,5.8134565,92.0,94.0,0.3305741,1.2478644,3.1,0.38,0.72,194.84,232.39,4.632797164160098,1.410986973710262,0.32208349916911333,0.5423242908253617
AUS,2008,81.4589,47621.637,5.971454,92.0,94.0,0.3542851,0.66945297,3.03,0.37,0.44,201.44,215.85,4.677804320255073,1.3937663759585917,0.31481073984003355,0.36464311358790924
AUS,2010,82.055,50222.52,6.1003284,92.0,94.0,0.34656727,1.0081148,2.88,0.36,0.37,198.77,202.15,4.7008985003848025,1.355835153635182,0.3074846997479606,0.31481073984003355
AUS,2014,82.5677,51919.355,6.100497,92.0,94.0,0.34399432,0.9969854,2.28,0.35,0.28,200.96,191.33,4.71532928853652,1.1878434223960523,0.30010459245033805,0.2468600779315258
AUS,2016,82.8707,51497.21,6.338031,94.0,95.0,0.3368581,0.98910433,2.17,0.35,0.29,201.27,190.99,4.711783700605716,1.1537315878891892,0.30010459245033805,0.25464221837358075
AUS,2018,83.3871,54236.766,6.2970996,95.0,94.0,0.34333763,0.98426986,1.97,0.37,0.28,207.79,199.31,4.734293785758947,1.0885619528146082,0.31481073984003355,0.2468600779315258
AUT,2000,78.2358,38036.566,6.8257866,81.0,75.0,0.28964692,0.6452591,2.23,0.85,0.6,251.47,453.18,4.580201301257745,1.172482137234565,0.6151856390902335,0.4700036292457355
AUT,2003,78.8496,38394.566,6.9826856,84.0,79.0,0.29466078,0.651944,2.25,0.7,0.62,249.05,412.66,4.584269762825614,1.1786549963416462,0.5306282510621704,0.4824261492442927
AUT,2004,79.3632,39732.598,6.996103,83.0,74.0,0.2978899,0.4237352,2.17,0.67,0.69,245.98,392.9,4.599146963247539,1.1537315878891892,0.5128236264286637,0.5247285289349821
AUT,2005,79.521,43298.79,6.9941998,86.0,75.0,0.28715435,0.45072752,2.04,0.67,0.79,244.41,386.78,4.636475760010049,1.1118575154181303,0.5128236264286637,0.5822156198526637
AUT,2006,79.9655,43980.133,6.9434433,83.0,80.0,0.29587582,0.4761546,1.89,0.65,0.52,242.18,375.69,4.643256538373538,1.0612565021243408,0.5007752879124893,0.41871033485818504
AUT,2007,80.1672,45328.258,6.9392724,85.0,79.0,0.30579996,0.7752975,1.8,0.63,0.71,243.61,371.85,4.65636902910668,1.0296194171811583,0.48858001481867097,0.5364933705145685
AUT,2008,80.3639,46818.812,7.17632,83.0,83.0,0.30437386,0.9854,1.78,0.62,0.56,245.0,366.65,4.67042038953168,1.0224509277025458,0.4824261492442927,0.44468582126144574
AUT,2009,80.207,44564.95,7.449177,83.0,76.0,0.31496233,1.0074811,1.77,0.64,0.48,249.0,367.74,4.648993423599472,1.0188473201992472,0.49469624183610705,0.3920420877760237
AUT,2010,80.4643,45806.348,7.399579,86.0,80.0,0.30252263,0.8140199,1.78,0.62,0.54,249.81,366.46,4.660925668185788,1.0224509277025458,0.4824261492442927,0.43178241642553783
AUT,2011,80.8285,47593.11,7.287898,89.0,84.0,0.3080167,1.03259,1.66,0.64,0.49,251.84,367.34,4.677544084956523,0.9783261227936076,0.49469624183610705,0.3987761199573678
AUT,2012,80.841,48182.363,7.432511,92.0,88.0,0.30476317,1.0696512,1.52,0.64,0.46,254.67,371.2,4.6828880952201395,0.9242589015233319,0.49469624183610705,0.3784364357202451
AUT,2013,81.0783,47261.83,7.423128,95.0,92.0,0.30753133,0.66714346,1.49,0.66,0.59,254.97,370.6,4.6745105337058925,0.9122827104766162,0.5068176023684519,0.4637340162321401
AUT,2014,81.3903,49125.188,7.5186386,98.0,96.0,0.30535683,0.7315986,1.47,0.66,0.5,254.7,369.35,4.69130422541313,0.9042181506398859,0.5068176023684519,0.4054651081081644
AUT,2015,81.1594,49618.703,7.511853,93.0,96.0,0.30532774,1.0127518,1.48,0.64,0.51,254.51,373.78,4.69564540791473,0.9082585601768908,0.49469624183610705,0.412109650826833
AUT,2016,81.5925,49865.79,7.49086,87.0,95.0,0.30797073,1.3268404,1.51,0.6,0.4,251.25,368.15,4.697802703751778,0.9202827531436926,0.4700036292457355,0.33647223662121295
AUT,2017,81.6391,51954.277,7.4457655,90.0,96.0,0.29737586,0.68288296,1.47,0.57,0.42,248.3,362.27,4.7156213055224745,0.9042181506398859,0.4510756193602167,0.35065687161316933
AUT,2018,81.6862,52968.19,7.4892535,85.0,94.0,0.3084879,1.151737,1.36,0.57,0.41,248.03,365.68,4.7240151327158,0.8586616190375187,0.4510756193602167,0.3435897043900769
AUT,2019,81.9077,53344.508,7.6176486,85.0,95.0,0.30211553,0.8497127,1.29,0.56,0.39,250.63,371.56,4.727089713955993,0.8285518175661483,0.44468582126144574,0.3293037471426004
AZE,2001,65.5101,3176.2764,0.7900678,77.0,68.0,0.36454937,70.99665,33.42,16.19,0.62,88.55,368.51,3.5019182877637935,3.5386377907833935,2.844327819394758,0.4824261492442927
AZE,2002,66.2392,3260.5984,0.7344683,76.0,66.0,0.25277665,48.45349,34.22,15.45,0.65,90.2,378.59,3.5132973111014234,3.56161410306806,2.800325477211381,0.5007752879124893
AZE,2003,66.7563,3405.857,0.77900064,77.0,67.0,0.2683288,44.57882,35.65,15.02,0.68,92.98,394.3,3.5322264095060123,3.6014134283326604,2.7738379416402132,0.5187937934151676
AZE,2004,67.3461,3566.5247,0.8643167,77.0,67.0,0.26621592,42.322376,36.73,14.37,0.71,94.52,402.47,3.552245236077593,3.6304555339762192,2.7324175575505043,0.5364933705145685
AZE,2005,67.5619,5500.5513,0.91786504,75.0,67.0,0.26554906,31.346401,36.74,13.48,0.73,97.1,412.24,3.7404062194122534,3.630720539940404,2.6727683869575705,0.5481214085096876
BGD,2000,65.7791,1520.2449,0.59430784,82.0,74.0,0.33406532,92.9599,78.44,40.42,0.01,43.01,119.23,3.181913555149617,4.375002019736917,3.723763855967438,0.009950330853168083
BGD,2005,67.2992,1666.4171,0.5357422,93.0,88.0,0.33201292,90.87791,64.66,32.28,0.07,45.11,144.69,3.22178371349126,4.184489912073446,3.5049566159530077,0.06765864847381481
BGD,2010,68.6384,2650.6636,0.5637666,94.0,88.0,0.3213032,89.35676,49.57,24.77,0.16,49.97,165.6,3.4233546142159295,3.9233585150918917,3.2492110246642736,0.14842000511827327
BGD,2016,71.09,3833.7283,0.4061069,98.0,97.0,0.32385272,86.90296,32.05,18.89,0.23,56.86,173.5,3.5836213307663676,3.498021566297695,2.9902170928658807,0.20701416938432612
BLR,2001,68.864,9692.305,4.2579165,99.0,99.0,0.30576724,73.66072,4.01,7.38,1.56,224.4,819.14,3.9864270721733535,1.6114359150967734,2.1258479144939915,0.9400072584914712
BLR,2002,68.4835,9920.514,4.0793414,99.0,99.0,0.30336243,67.68551,3.75,8.33,2.07,227.14,874.04,3.996534174329651,1.55814461804655,2.2332350148592526,1.1216775615991057
BLR,2003,68.939,10457.991,4.385541,50.0,99.0,0.28821012,64.802666,3.6,8.43,2.57,219.3,864.46,4.019448263746074,1.5260563034950494,2.2438960966453663,1.2725655957915476
